version = 6
CPU 0 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-8375  [007]  1843.571684: funcgraph_entry:      + 17.685 us  |  zpl_show_options();
              dd-8376  [010]  1843.572892: funcgraph_entry:                   |                      dsl_dataset_prev_snap_txg() {
              dd-8376  [010]  1843.572893: funcgraph_entry:        0.413 us   |                        spa_last_synced_txg();
              dd-8376  [010]  1843.572894: funcgraph_exit:         1.230 us   |                      }
              dd-8376  [010]  1843.572894: funcgraph_entry:        0.530 us   |                      ddt_prefetch();
              dd-8376  [010]  1843.572895: funcgraph_exit:         3.009 us   |                    }
              dd-8376  [010]  1843.572896: funcgraph_entry:        0.566 us   |                    dmu_buf_add_ref();
              dd-8376  [010]  1843.572897: funcgraph_entry:                   |                    bp_get_dsize() {
              dd-8376  [010]  1843.572897: funcgraph_entry:        0.553 us   |                      spa_config_enter();
              dd-8376  [010]  1843.572898: funcgraph_entry:                   |                      dva_get_dsize_sync() {
              dd-8376  [010]  1843.572899: funcgraph_entry:        0.417 us   |                        vdev_lookup_top();
              dd-8376  [010]  1843.572900: funcgraph_exit:         1.343 us   |                      }
              dd-8376  [010]  1843.572900: funcgraph_entry:                   |                      dva_get_dsize_sync() {
              dd-8376  [010]  1843.572900: funcgraph_entry:        0.403 us   |                        vdev_lookup_top();
              dd-8376  [010]  1843.572901: funcgraph_exit:         1.216 us   |                      }
              dd-8376  [010]  1843.572902: funcgraph_entry:        0.422 us   |                      dva_get_dsize_sync();
              dd-8376  [010]  1843.572903: funcgraph_entry:        0.520 us   |                      spa_config_exit();
              dd-8376  [010]  1843.572904: funcgraph_exit:         6.694 us   |                    }
              dd-8376  [010]  1843.572904: funcgraph_entry:        0.416 us   |                    ddt_prefetch();
              dd-8376  [010]  1843.572905: funcgraph_entry:                   |                    dnode_willuse_space() {
              dd-8376  [010]  1843.572905: funcgraph_entry:        0.420 us   |                      spa_get_asize();
              dd-8376  [010]  1843.572906: funcgraph_entry:                   |                      dsl_dir_willuse_space() {
              dd-8376  [010]  1843.572907: funcgraph_entry:                   |                        dsl_dir_dirty() {
              dd-8376  [010]  1843.572907: funcgraph_entry:        0.454 us   |                          txg_list_add();
              dd-8376  [010]  1843.572908: funcgraph_exit:         1.326 us   |                        }
              dd-8376  [010]  1843.572908: funcgraph_exit:         2.222 us   |                      }
              dd-8376  [010]  1843.572909: funcgraph_entry:        0.426 us   |                      dmu_tx_pool();
              dd-8376  [010]  1843.572910: funcgraph_entry:        0.433 us   |                      dsl_pool_dirty_space();
              dd-8376  [010]  1843.572910: funcgraph_entry:        0.410 us   |                      dmu_tx_willuse_space();
              dd-8376  [010]  1843.572911: funcgraph_exit:         6.434 us   |                    }
              dd-8376  [010]  1843.572912: funcgraph_entry:                   |                    dbuf_dirty() {
              dd-8376  [010]  1843.572913: funcgraph_entry:        0.443 us   |                      zrl_add();
              dd-8376  [010]  1843.572914: funcgraph_entry:                   |                      dnode_willuse_space() {
              dd-8376  [010]  1843.572914: funcgraph_entry:        0.419 us   |                        spa_get_asize();
              dd-8376  [010]  1843.572915: funcgraph_entry:                   |                        dsl_dir_willuse_space() {
              dd-8376  [010]  1843.572915: funcgraph_entry:                   |                          dsl_dir_dirty() {
              dd-8376  [010]  1843.572916: funcgraph_entry:        0.450 us   |                            txg_list_add();
              dd-8376  [010]  1843.572917: funcgraph_exit:         1.315 us   |                          }
